
Epoch [1/10], train loss: 0.2235, train acc: 0.9257, val loss: 0.6219, val acc: 0.7421
Epoch [2/10], train loss: 0.1865, train acc: 0.9324, val loss: 0.6091, val acc: 0.7460
Epoch [3/10], train loss: 0.1306, train acc: 0.9501, val loss: 0.7120, val acc: 0.7143
Epoch [4/10], train loss: 0.1306, train acc: 0.9471, val loss: 0.7476, val acc: 0.7103
Epoch [5/10], train loss: 0.1248, train acc: 0.9533, val loss: 0.7835, val acc: 0.7460
Epoch [6/10], train loss: 0.1237, train acc: 0.9516, val loss: 0.7135, val acc: 0.7500
Epoch [7/10], train loss: 0.1083, train acc: 0.9580, val loss: 1.1999, val acc: 0.8095
Epoch [8/10], train loss: 0.1308, train acc: 0.9538, val loss: 0.7253, val acc: 0.7579
Epoch [9/10], train loss: 0.0987, train acc: 0.9622, val loss: 0.7797, val acc: 0.7659
Epoch [10/10], train loss: 0.1019, train acc: 0.9650, val loss: 0.8158, val acc: 0.8056
