
Epoch [1/10], train loss: 0.2801, train acc: 0.9178, val loss: 0.6066, val acc: 0.7103
Epoch [2/10], train loss: 0.1809, train acc: 0.9386, val loss: 0.8664, val acc: 0.6746
Epoch [3/10], train loss: 0.1447, train acc: 0.9471, val loss: 0.9989, val acc: 0.8095
Epoch [4/10], train loss: 0.1638, train acc: 0.9406, val loss: 0.7416, val acc: 0.7341
Epoch [5/10], train loss: 0.1258, train acc: 0.9535, val loss: 0.6536, val acc: 0.7659
Epoch [6/10], train loss: 0.1203, train acc: 0.9543, val loss: 0.7460, val acc: 0.7619
Epoch [7/10], train loss: 0.1051, train acc: 0.9573, val loss: 0.7910, val acc: 0.7302
Epoch [8/10], train loss: 0.1092, train acc: 0.9575, val loss: 0.8951, val acc: 0.7024
Epoch [9/10], train loss: 0.1774, train acc: 0.9458, val loss: 0.7693, val acc: 0.7857
Epoch [10/10], train loss: 0.0980, train acc: 0.9635, val loss: 1.0508, val acc: 0.6944
