
Epoch [1/10], train loss: 0.2967, train acc: 0.9118, val loss: 0.6179, val acc: 0.7937
Epoch [2/10], train loss: 0.1436, train acc: 0.9473, val loss: 0.6774, val acc: 0.7897
Epoch [3/10], train loss: 0.1982, train acc: 0.9359, val loss: 0.7688, val acc: 0.7143
Epoch [4/10], train loss: 0.1295, train acc: 0.9518, val loss: 0.9006, val acc: 0.6944
Epoch [5/10], train loss: 0.1166, train acc: 0.9575, val loss: 0.6574, val acc: 0.7500
Epoch [6/10], train loss: 0.1211, train acc: 0.9545, val loss: 0.7288, val acc: 0.7262
Epoch [7/10], train loss: 0.1081, train acc: 0.9590, val loss: 0.9037, val acc: 0.7976
Epoch [8/10], train loss: 0.1076, train acc: 0.9598, val loss: 0.9292, val acc: 0.7302
Epoch [9/10], train loss: 0.1111, train acc: 0.9570, val loss: 0.9199, val acc: 0.7262
Epoch [10/10], train loss: 0.1370, train acc: 0.9486, val loss: 1.1035, val acc: 0.6667
