
Epoch [1/10], train loss: 0.1379, train acc: 0.9548, val loss: 0.8113, val acc: 0.7659
Epoch [2/10], train loss: 0.0518, train acc: 0.9799, val loss: 0.4973, val acc: 0.8175
Epoch [3/10], train loss: 0.0200, train acc: 0.9933, val loss: 0.5646, val acc: 0.8690
Epoch [4/10], train loss: 0.0092, train acc: 0.9973, val loss: 0.4929, val acc: 0.8968
Epoch [5/10], train loss: 0.0033, train acc: 0.9990, val loss: 0.6063, val acc: 0.8611
Epoch [6/10], train loss: 0.0018, train acc: 0.9995, val loss: 0.6188, val acc: 0.8651
Epoch [7/10], train loss: 0.0009, train acc: 1.0000, val loss: 0.5653, val acc: 0.8730
Epoch [8/10], train loss: 0.0006, train acc: 1.0000, val loss: 0.6049, val acc: 0.8810
Epoch [9/10], train loss: 0.0007, train acc: 1.0000, val loss: 0.5903, val acc: 0.8730
Epoch [10/10], train loss: 0.0004, train acc: 1.0000, val loss: 0.5826, val acc: 0.8810
