
Epoch [1/10], train loss: 0.1271, train acc: 0.9568, val loss: 0.5920, val acc: 0.8690
Epoch [2/10], train loss: 0.0650, train acc: 0.9789, val loss: 0.6327, val acc: 0.8690
Epoch [3/10], train loss: 0.0223, train acc: 0.9923, val loss: 0.3479, val acc: 0.8968
Epoch [4/10], train loss: 0.0067, train acc: 0.9985, val loss: 0.5639, val acc: 0.8810
Epoch [5/10], train loss: 0.0054, train acc: 0.9980, val loss: 0.4744, val acc: 0.9008
Epoch [6/10], train loss: 0.0021, train acc: 0.9995, val loss: 0.4425, val acc: 0.9008
Epoch [7/10], train loss: 0.0009, train acc: 1.0000, val loss: 0.4575, val acc: 0.8929
Epoch [8/10], train loss: 0.0009, train acc: 0.9998, val loss: 0.5104, val acc: 0.8968
Epoch [9/10], train loss: 0.0006, train acc: 1.0000, val loss: 0.5397, val acc: 0.8929
Epoch [10/10], train loss: 0.0004, train acc: 1.0000, val loss: 0.5810, val acc: 0.8929
